savivaldybe_1,savivaldybe_2,mokslo_metai,mokyt_simil,mok_simil,ne_1_mok_simil,avg_simil,mokytoju_skaicius,ekspertu_skaicius,ekspertu_skaicius_proc,mokiniu_skaicius,mokiniu_mokytojui_sk,mokytoju_skaicius_ne_vienoje_mokykloje,mokytoju_skaicius_ne_vienoje_mokykloje_proc,moko_daugiau_nei_1_dalyko_proc,moko_daugiau_nei_1_dalyko,pensijinio_amziaus_proc,pensijinio_amziaus,stazas_iki_2_metu_proc
Joniškio r. sav.,Lazdijų r. sav.,2015-2016,0.0117,0.1344,0.4697,0.2053,257,105,0.408560311284,2709.0,10.540856031128,35.0,13.618677042801,66.92607003891,172,0.031128404669,8,0.015564202334
Joniškio r. sav.,Pakruojo r. sav.,2015-2016,0.0117,0.1015,0.0789,0.064,257,105,0.408560311284,2709.0,10.540856031128,35.0,13.618677042801,66.92607003891,172,0.031128404669,8,0.015564202334
Joniškio r. sav.,Švenčionių r. sav.,2015-2016,0.0854,0.0131,0.0789,0.0591,257,105,0.408560311284,2709.0,10.540856031128,35.0,13.618677042801,66.92607003891,172,0.031128404669,8,0.015564202334
Joniškio r. sav.,Varėnos r. sav.,2015-2016,0.0887,0.1417,0.2553,0.1619,257,105,0.408560311284,2709.0,10.540856031128,35.0,13.618677042801,66.92607003891,172,0.031128404669,8,0.015564202334
Joniškio r. sav.,Kupiškio r. sav.,2015-2016,0.0506,0.1971,0.125,0.1242,257,105,0.408560311284,2709.0,10.540856031128,35.0,13.618677042801,66.92607003891,172,0.031128404669,8,0.015564202334
Joniškio r. sav.,Alytaus r. sav.,2015-2016,0.0078,0.3271,0.375,0.2366,257,105,0.408560311284,2709.0,10.540856031128,35.0,13.618677042801,66.92607003891,172,0.031128404669,8,0.015564202334
Jurbarko r. sav.,Biržų r. sav.,2015-2016,0.0833,0.1758,0.0323,0.0971,348,98,0.281609195402,3452.0,9.919540229885,62.0,17.816091954023,56.03448275862,195,0.083333333333,29,0.080459770114
Jurbarko r. sav.,Kaišiadorių r. sav.,2015-2016,0.0259,0.1239,0.129,0.0929,348,98,0.281609195402,3452.0,9.919540229885,62.0,17.816091954023,56.03448275862,195,0.083333333333,29,0.080459770114
Jurbarko r. sav.,Kelmės r. sav.,2015-2016,0.0984,0.0252,0.1935,0.1057,348,98,0.281609195402,3452.0,9.919540229885,62.0,17.816091954023,56.03448275862,195,0.083333333333,29,0.080459770114
Jurbarko r. sav.,Raseinių r. sav.,2015-2016,0.0492,0.1394,0.1129,0.1005,348,98,0.281609195402,3452.0,9.919540229885,62.0,17.816091954023,56.03448275862,195,0.083333333333,29,0.080459770114
Jurbarko r. sav.,Rokiškio r. sav.,2015-2016,0.0306,0.0542,0.3034,0.1294,348,98,0.281609195402,3452.0,9.919540229885,62.0,17.816091954023,56.03448275862,195,0.083333333333,29,0.080459770114
Jurbarko r. sav.,Šakių r. sav.,2015-2016,0.0569,0.0889,0.129,0.0916,348,98,0.281609195402,3452.0,9.919540229885,62.0,17.816091954023,56.03448275862,195,0.083333333333,29,0.080459770114
Jurbarko r. sav.,Šilalės r. sav.,2015-2016,0.0833,0.0012,0.0806,0.055,348,98,0.281609195402,3452.0,9.919540229885,62.0,17.816091954023,56.03448275862,195,0.083333333333,29,0.080459770114
Kaišiadorių r. sav.,Biržų r. sav.,2015-2016,0.059,0.2779,0.1,0.1456,339,122,0.359882005899,3940.0,11.622418879056,54.0,15.929203539823,55.162241887905,187,0.061946902654,21,0.073746312684
Kaišiadorių r. sav.,Jurbarko r. sav.,2015-2016,0.0259,0.1239,0.129,0.0929,339,122,0.359882005899,3940.0,11.622418879056,54.0,15.929203539823,55.162241887905,187,0.061946902654,21,0.073746312684
Kaišiadorių r. sav.,Pasvalio r. sav.,2015-2016,0.0944,0.2056,0.3148,0.2049,339,122,0.359882005899,3940.0,11.622418879056,54.0,15.929203539823,55.162241887905,187,0.061946902654,21,0.073746312684
Kaišiadorių r. sav.,Raseinių r. sav.,2015-2016,0.0738,0.0177,0.0182,0.0366,339,122,0.359882005899,3940.0,11.622418879056,54.0,15.929203539823,55.162241887905,187,0.061946902654,21,0.073746312684
Kaišiadorių r. sav.,Rokiškio r. sav.,2015-2016,0.0557,0.0736,0.3933,0.1742,339,122,0.359882005899,3940.0,11.622418879056,54.0,15.929203539823,55.162241887905,187,0.061946902654,21,0.073746312684
Kaišiadorių r. sav.,Šakių r. sav.,2015-2016,0.0813,0.0383,0.0,0.0399,339,122,0.359882005899,3940.0,11.622418879056,54.0,15.929203539823,55.162241887905,187,0.061946902654,21,0.073746312684
Kaišiadorių r. sav.,Šilalės r. sav.,2015-2016,0.059,0.1228,0.0526,0.0781,339,122,0.359882005899,3940.0,11.622418879056,54.0,15.929203539823,55.162241887905,187,0.061946902654,21,0.073746312684
Kėdainių r. sav.,Šalčininkų r. sav.,2015-2016,0.0129,0.3279,0.4043,0.2484,541,207,0.382624768946,6123.0,11.317929759704,56.0,10.351201478743,56.561922365988,306,0.046210720887,25,0.055452865064
Kėdainių r. sav.,Šilutės r. sav.,2015-2016,0.0222,0.1271,0.3563,0.1685,541,207,0.382624768946,6123.0,11.317929759704,56.0,10.351201478743,56.561922365988,306,0.046210720887,25,0.055452865064
Kėdainių r. sav.,Telšių r. sav.,2015-2016,0.0684,0.1217,0.0357,0.0753,541,207,0.382624768946,6123.0,11.317929759704,56.0,10.351201478743,56.561922365988,306,0.046210720887,25,0.055452865064
Kėdainių r. sav.,Vilkaviškio r. sav.,2015-2016,0.0665,0.1444,0.5214,0.2441,541,207,0.382624768946,6123.0,11.317929759704,56.0,10.351201478743,56.561922365988,306,0.046210720887,25,0.055452865064
Kelmės r. sav.,Jurbarko r. sav.,2015-2016,0.0984,0.0252,0.1935,0.1057,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kelmės r. sav.,Kretingos r. sav.,2015-2016,0.096,0.3335,0.2188,0.2161,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kelmės r. sav.,Raseinių r. sav.,2015-2016,0.0518,0.1611,0.0909,0.1013,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kelmės r. sav.,Rokiškio r. sav.,2015-2016,0.0699,0.0781,0.4382,0.1954,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kelmės r. sav.,Šakių r. sav.,2015-2016,0.044,0.1119,0.0741,0.0767,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kelmės r. sav.,Trakų r. sav.,2015-2016,0.0585,0.1237,0.4737,0.2186,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kelmės r. sav.,Ukmergės r. sav.,2015-2016,0.0676,0.1615,0.1379,0.1223,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kelmės r. sav.,Utenos r. sav.,2015-2016,0.0516,0.2296,0.06,0.1137,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kelmės r. sav.,Panevėžio r. sav.,2015-2016,0.0676,0.0068,0.4444,0.1729,386,124,0.321243523316,3365.0,8.71761658031,50.0,12.953367875647,61.658031088082,238,0.062176165803,24,0.085492227979
Kretingos r. sav.,Jonavos r. sav.,2015-2016,0.0915,0.0932,0.0588,0.0812,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Kretingos r. sav.,Kelmės r. sav.,2015-2016,0.096,0.3335,0.2188,0.2161,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Kretingos r. sav.,Plungės r. sav.,2015-2016,0.0206,0.1087,0.1406,0.09,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Kretingos r. sav.,Tauragės r. sav.,2015-2016,0.0837,0.0024,0.0986,0.0616,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Kretingos r. sav.,Trakų r. sav.,2015-2016,0.0398,0.2395,0.3263,0.2019,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Kretingos r. sav.,Ukmergės r. sav.,2015-2016,0.0304,0.2052,0.0938,0.1098,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Kretingos r. sav.,Utenos r. sav.,2015-2016,0.0468,0.1349,0.2656,0.1491,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Kretingos r. sav.,Panevėžio r. sav.,2015-2016,0.0304,0.3381,0.2889,0.2191,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Kretingos r. sav.,Šiaulių r. sav.,2015-2016,0.0953,0.2111,0.3118,0.2061,427,219,0.51288056206,5049.0,11.824355971897,64.0,14.988290398126,59.250585480093,253,0.060889929742,26,0.065573770491
Lazdijų r. sav.,Akmenės r. sav.,2015-2016,0.0827,0.1815,0.7424,0.3355,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Lazdijų r. sav.,Anykščių r. sav.,2015-2016,0.0342,0.0605,0.1061,0.0669,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Lazdijų r. sav.,Elektrėnų sav.,2015-2016,0.0415,0.1568,0.6515,0.2833,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Lazdijų r. sav.,Joniškio r. sav.,2015-2016,0.0117,0.1344,0.4697,0.2053,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Lazdijų r. sav.,Pakruojo r. sav.,2015-2016,0.0,0.0366,0.4242,0.1536,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Lazdijų r. sav.,Švenčionių r. sav.,2015-2016,0.0961,0.1457,0.4242,0.222,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Lazdijų r. sav.,Varėnos r. sav.,2015-2016,0.0993,0.0085,0.2879,0.1319,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Lazdijų r. sav.,Kupiškio r. sav.,2015-2016,0.0394,0.0725,0.3939,0.1686,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Lazdijų r. sav.,Alytaus r. sav.,2015-2016,0.0039,0.2226,0.1515,0.126,254,72,0.283464566929,2345.0,9.232283464566,66.0,25.984251968503,61.811023622047,157,0.023622047244,6,0.07874015748
Marijampolės sav.,Mažeikių r. sav.,2015-2016,0.0077,0.0795,0.4608,0.1827,651,270,0.414746543778,7619.0,11.703533026113,102.0,15.668202764977,54.838709677419,357,0.090629800307,59,0.052227342549
Marijampolės sav.,Alytaus m. sav.,2015-2016,0.0276,0.014,0.2451,0.0956,651,270,0.414746543778,7619.0,11.703533026113,102.0,15.668202764977,54.838709677419,357,0.090629800307,59,0.052227342549
Mažeikių r. sav.,Marijampolės sav.,2015-2016,0.0077,0.0795,0.4608,0.1827,646,276,0.427244582043,7013.0,10.856037151702,55.0,8.513931888544,57.739938080495,373,0.038699690402,25,0.041795665634
Mažeikių r. sav.,Alytaus m. sav.,2015-2016,0.0201,0.0924,0.2857,0.1327,646,276,0.427244582043,7013.0,10.856037151702,55.0,8.513931888544,57.739938080495,373,0.038699690402,25,0.041795665634
Pakruojo r. sav.,Akmenės r. sav.,2015-2016,0.0827,0.1504,0.5526,0.2619,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pakruojo r. sav.,Anykščių r. sav.,2015-2016,0.0342,0.0248,0.3559,0.1383,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pakruojo r. sav.,Elektrėnų sav.,2015-2016,0.0415,0.1248,0.3947,0.187,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pakruojo r. sav.,Joniškio r. sav.,2015-2016,0.0117,0.1015,0.0789,0.064,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pakruojo r. sav.,Lazdijų r. sav.,2015-2016,0.0,0.0366,0.4242,0.1536,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pakruojo r. sav.,Švenčionių r. sav.,2015-2016,0.0961,0.1133,0.0,0.0698,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pakruojo r. sav.,Varėnos r. sav.,2015-2016,0.0993,0.0448,0.1915,0.1119,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pakruojo r. sav.,Kupiškio r. sav.,2015-2016,0.0394,0.1064,0.05,0.0653,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pakruojo r. sav.,Alytaus r. sav.,2015-2016,0.0039,0.251,0.3214,0.1921,254,98,0.385826771653,2434.0,9.582677165354,38.0,14.960629921259,67.71653543307,172,0.055118110236,14,0.031496062992
Pasvalio r. sav.,Biržų r. sav.,2015-2016,0.0376,0.0911,0.3833,0.1707,307,111,0.361563517915,3130.0,10.195439739413,37.0,12.052117263843,67.752442996742,208,0.058631921824,18,0.055374592833
Pasvalio r. sav.,Kaišiadorių r. sav.,2015-2016,0.0944,0.2056,0.3148,0.2049,307,111,0.361563517915,3130.0,10.195439739413,37.0,12.052117263843,67.752442996742,208,0.058631921824,18,0.055374592833
Pasvalio r. sav.,Prienų r. sav.,2015-2016,0.0195,0.0722,0.1957,0.0958,307,111,0.361563517915,3130.0,10.195439739413,37.0,12.052117263843,67.752442996742,208,0.058631921824,18,0.055374592833
Pasvalio r. sav.,Šilalės r. sav.,2015-2016,0.0376,0.0943,0.3509,0.1609,307,111,0.361563517915,3130.0,10.195439739413,37.0,12.052117263843,67.752442996742,208,0.058631921824,18,0.055374592833
Pasvalio r. sav.,Švenčionių r. sav.,2015-2016,0.0847,0.123,0.0263,0.078,307,111,0.361563517915,3130.0,10.195439739413,37.0,12.052117263843,67.752442996742,208,0.058631921824,18,0.055374592833
Pasvalio r. sav.,Varėnos r. sav.,2015-2016,0.0814,0.2572,0.2128,0.1838,307,111,0.361563517915,3130.0,10.195439739413,37.0,12.052117263843,67.752442996742,208,0.058631921824,18,0.055374592833
Plungės r. sav.,Jonavos r. sav.,2015-2016,0.0723,0.1918,0.1912,0.1518,436,161,0.369266055045,4500.0,10.321100917431,55.0,12.614678899082,62.155963302752,271,0.057339449541,25,0.064220183486
Plungės r. sav.,Kretingos r. sav.,2015-2016,0.0206,0.1087,0.1406,0.09,436,161,0.369266055045,4500.0,10.321100917431,55.0,12.614678899082,62.155963302752,271,0.057339449541,25,0.064220183486
Plungės r. sav.,Radviliškio r. sav.,2015-2016,0.0898,0.0803,0.0179,0.0627,436,161,0.369266055045,4500.0,10.321100917431,55.0,12.614678899082,62.155963302752,271,0.057339449541,25,0.064220183486
Plungės r. sav.,Tauragės r. sav.,2015-2016,0.0644,0.1108,0.2254,0.1335,436,161,0.369266055045,4500.0,10.321100917431,55.0,12.614678899082,62.155963302752,271,0.057339449541,25,0.064220183486
Plungės r. sav.,Trakų r. sav.,2015-2016,0.0596,0.1467,0.4211,0.2091,436,161,0.369266055045,4500.0,10.321100917431,55.0,12.614678899082,62.155963302752,271,0.057339449541,25,0.064220183486
Plungės r. sav.,Ukmergės r. sav.,2015-2016,0.0505,0.1082,0.0517,0.0701,436,161,0.369266055045,4500.0,10.321100917431,55.0,12.614678899082,62.155963302752,271,0.057339449541,25,0.064220183486
Plungės r. sav.,Utenos r. sav.,2015-2016,0.0665,0.0293,0.1455,0.0804,436,161,0.369266055045,4500.0,10.321100917431,55.0,12.614678899082,62.155963302752,271,0.057339449541,25,0.064220183486
Plungės r. sav.,Klaipėdos r. sav.,2015-2016,0.086,0.1112,0.4444,0.2139,436,161,0.369266055045,4500.0,10.321100917431,55.0,12.614678899082,62.155963302752,271,0.057339449541,25,0.064220183486
